tagId,anchorId,rssi,timestamp
1,1,-85.371,1
1,2,-82.49,1
1,3,-87.712,1
1,4,-93.492,1
1,1,-87.069,2
1,2,-81.58,2
1,3,-86.479,2
1,4,-89.432,2
1,1,-82.615,3
1,2,-80.296,3
1,3,-94.791,3
1,4,-94.425,3
1,1,-83.745,4
1,2,-83.073,4
1,3,-84.99,4
1,4,-91.378,4
1,1,-83.486,5
1,2,-85.883,5
1,3,-88.654,5
1,4,-95.59,5
1,1,-78.833,6
1,2,-77.072,6
1,3,-83.668,6
1,4,-95.117,6
1,1,-89.511,7
1,2,-80.544,7
1,3,-84.555,7
1,4,-92.649,7
1,1,-85.81,8
1,2,-86.17,8
1,3,-89.148,8
1,4,-94.375,8
1,1,-93.016,9
1,2,-78.076,9
1,3,-87.137,9
1,4,-91.665,9
1,1,-92.246,10
1,2,-76.117,10
1,3,-86.921,10
1,4,-92.716,10
1,1,-87.956,11
1,2,-80.511,11
1,3,-93.563,11
1,4,-92.674,11
1,1,-90.658,12
1,2,-82.779,12
1,3,-91.686,12
1,4,-93.458,12
1,1,-94.362,13
1,2,-76.633,13
1,3,-86.384,13
1,4,-91.834,13
1,1,-88.139,14
1,2,-82.206,14
1,3,-84.807,14
1,4,-92.192,14
1,1,-90.288,15
1,2,-75.409,15
1,3,-88.74,15
1,4,-93.633,15
1,1,-88.958,16
1,2,-82.363,16
1,3,-91.571,16
1,4,-83.783,16
1,1,-82.794,17
1,2,-78.71,17
1,3,-92.004,17
1,4,-94.507,17
1,1,-88.587,18
1,2,-77.179,18
1,3,-92.241,18
1,4,-99.138,18
1,1,-92.611,19
1,2,-78.627,19
1,3,-86.791,19
1,4,-90.342,19
1,1,-88.441,20
1,2,-79.101,20
1,3,-89.534,20
1,4,-89.045,20
1,1,-92.335,21
1,2,-78.243,21
1,3,-90.713,21
1,4,-92.829,21
1,1,-86.281,22
1,2,-76.396,22
1,3,-91.563,22
1,4,-87.784,22
1,1,-85.941,23
1,2,-79.897,23
1,3,-88.646,23
1,4,-92.459,23
1,1,-88.987,24
1,2,-79.609,24
1,3,-87.867,24
1,4,-89.158,24
1,1,-83.2,25
1,2,-78.206,25
1,3,-88.692,25
1,4,-89.793,25
1,1,-87.449,26
1,2,-82.938,26
1,3,-85.027,26
1,4,-90.799,26
1,1,-87.601,27
1,2,-78.053,27
1,3,-87.202,27
1,4,-94.748,27
1,1,-88.542,28
1,2,-80.144,28
1,3,-89.711,28
1,4,-86.451,28
1,1,-90.798,29
1,2,-81.212,29
1,3,-90.28,29
1,4,-95.484,29
1,1,-88.637,30
1,2,-80.549,30
1,3,-83.19,30
1,4,-92.558,30
1,1,-91.394,31
1,2,-74.611,31
1,3,-84.124,31
1,4,-92.497,31
1,1,-92.792,32
1,2,-81.088,32
1,3,-88.522,32
1,4,-90.897,32
1,1,-88.855,33
1,2,-78.28,33
1,3,-86.789,33
1,4,-95.725,33
1,1,-91.026,34
1,2,-82.026,34
1,3,-89.635,34
1,4,-92.784,34
1,1,-87.989,35
1,2,-89.261,35
1,3,-89.474,35
1,4,-87.841,35
1,1,-91.402,36
1,2,-76.729,36
1,3,-86.921,36
1,4,-91.862,36
1,1,-87.452,37
1,2,-84.631,37
1,3,-88.296,37
1,4,-86.698,37
1,1,-87.718,38
1,2,-79.551,38
1,3,-90.35,38
1,4,-91.868,38
1,1,-87.294,39
1,2,-78.334,39
1,3,-89.208,39
1,4,-92.518,39
1,1,-81.629,40
1,2,-86.824,40
1,3,-80.979,40
1,4,-90.703,40
1,1,-84.866,41
1,2,-84.945,41
1,3,-89.895,41
1,4,-92.65,41
1,1,-86.692,42
1,2,-84.964,42
1,3,-86.537,42
1,4,-95.606,42
1,1,-87.819,43
1,2,-77.619,43
1,3,-86.995,43
1,4,-88.347,43
1,1,-84.847,44
1,2,-81.74,44
1,3,-87.216,44
1,4,-94.757,44
1,1,-92.209,45
1,2,-76.758,45
1,3,-88.029,45
1,4,-91.944,45
1,1,-85.148,46
1,2,-77.802,46
1,3,-86.921,46
1,4,-87.817,46
1,1,-85.089,47
1,2,-78.924,47
1,3,-90.212,47
1,4,-93.831,47
1,1,-84.259,48
1,2,-84.779,48
1,3,-88.106,48
1,4,-97.933,48
1,1,-84.802,49
1,2,-76.957,49
1,3,-88.025,49
1,4,-91.994,49
1,1,-95.891,50
1,2,-77.844,50
1,3,-94.962,50
1,4,-99.105,50
1,1,-87.776,51
1,2,-82.681,51
1,3,-86.728,51
1,4,-89.63,51
1,1,-85.316,52
1,2,-81.868,52
1,3,-86.608,52
1,4,-91.452,52
1,1,-85.417,53
1,2,-77.987,53
1,3,-85.189,53
1,4,-92.188,53
1,1,-88.494,54
1,2,-76.495,54
1,3,-94.744,54
1,4,-93.366,54
1,1,-92.047,55
1,2,-80.892,55
1,3,-85.977,55
1,4,-89.159,55
1,1,-91.238,56
1,2,-81.172,56
1,3,-87.595,56
1,4,-92.693,56
1,1,-87.074,57
1,2,-78.417,57
1,3,-90.97,57
1,4,-92.33,57
1,1,-94.771,58
1,2,-76.06,58
1,3,-90.018,58
1,4,-95.577,58
1,1,-88.832,59
1,2,-84.2,59
1,3,-88.095,59
1,4,-93.543,59
1,1,-81.142,60
1,2,-76.082,60
1,3,-95.925,60
1,4,-90.375,60
